seed,policy,n_mechanisms,n_orientations,n_interventions,base_noise,perturbation_scale,ig_mode,budget,success_95,correct_argmax,n95,c95,posterior_true,score_evals,orientation_switches,runtime_s,true_h
2,passive,8,8,10,0.75,0.35,proxy,35,0,0,36,56.1129208859149,0.125,0,0,0.0005979829999986919,7
2,fixed_oed,8,8,10,0.75,0.35,proxy,35,0,0,36,115.58901824523075,0.125,350,0,0.002858400000000927,7
2,random_orientation,8,8,10,0.75,0.35,proxy,35,1,1,15,21.222922699149866,0.9623703742306856,0,12,0.0002559069999996666,7
2,generic_oed,8,8,10,0.75,0.35,proxy,35,1,1,6,7.295578237442733,0.9707880808923087,480,3,0.003274674000000033,7
2,oarl_no_stability,8,8,10,0.75,0.35,proxy,35,1,1,3,3.648684821323191,0.9895292067723688,240,2,0.0016567649999998935,7
2,full_oarl,8,8,10,0.75,0.35,proxy,35,0,0,36,25.276341255075227,0.1944649058979357,2800,2,0.019422700999999876,7
2,oracle,8,8,10,0.75,0.35,proxy,35,1,1,4,8.227532973129167,0.9531672689522823,320,2,0.003534266999999147,7
3,passive,8,8,10,0.75,0.35,proxy,35,0,0,36,26.31282822882048,0.125,0,0,0.0005351100000012821,2
3,fixed_oed,8,8,10,0.75,0.35,proxy,35,0,0,36,33.256036692861734,0.125,350,0,0.002742188000002699,2
3,random_orientation,8,8,10,0.75,0.35,proxy,35,1,1,28,35.1227979728689,0.9560669791845842,0,24,0.00047041500000233327,2
3,generic_oed,8,8,10,0.75,0.35,proxy,35,1,1,10,16.121634250856,0.9505438985963274,800,4,0.0053200529999983814,2
3,oarl_no_stability,8,8,10,0.75,0.35,proxy,35,1,1,13,14.685332546855072,0.9706041748954416,1040,3,0.007365443000001193,2
3,full_oarl,8,8,10,0.75,0.35,proxy,35,0,1,36,20.267924418285073,0.9324359103302214,2800,2,0.019678320000000582,2
3,oracle,8,8,10,0.75,0.35,proxy,35,1,1,11,11.677922630804607,0.9960355013158643,880,4,0.00926830199999884,2
4,passive,8,8,10,0.75,0.35,proxy,35,0,0,36,54.66736317899713,0.125,0,0,0.000515190000001553,1
4,fixed_oed,8,8,10,0.75,0.35,proxy,35,0,0,36,72.15938800970312,0.125,350,0,0.003105615000002615,1
4,random_orientation,8,8,10,0.75,0.35,proxy,35,1,1,32,38.73045527713934,0.9732913195492525,0,29,0.0005025419999995506,1
4,generic_oed,8,8,10,0.75,0.35,proxy,35,1,1,4,4.466849769172716,0.9622446706096704,320,2,0.002183022000000534,1
4,oarl_no_stability,8,8,10,0.75,0.35,proxy,35,1,1,6,6.0613872763911845,0.9743774653848426,480,4,0.003307873000000683,1
4,full_oarl,8,8,10,0.75,0.35,proxy,35,0,0,36,31.58200100080241,0.009499198168889932,2800,1,0.01972078200000027,1
4,oracle,8,8,10,0.75,0.35,proxy,35,1,1,3,2.6648664607578043,0.9555385961856531,240,0,0.002503976999999935,1
5,passive,8,8,10,0.75,0.35,proxy,35,0,0,36,33.38549710517446,0.125,0,0,0.0005048749999971847,5
5,fixed_oed,8,8,10,0.75,0.35,proxy,35,0,0,36,31.670155545743707,0.125,350,0,0.002796768999999699,5
5,random_orientation,8,8,10,0.75,0.35,proxy,35,0,0,36,44.465444886492186,0.05227834562491747,0,32,0.000568870000002164,5
5,generic_oed,8,8,10,0.75,0.35,proxy,35,1,1,5,8.052444736462512,0.962543213775201,400,3,0.002727125999999913,5
5,oarl_no_stability,8,8,10,0.75,0.35,proxy,35,1,1,5,1.6943890397930392,0.9681855325141472,400,3,0.002866020999999108,5
5,full_oarl,8,8,10,0.75,0.35,proxy,35,1,1,6,6.3216927869013375,0.9963244820292729,480,4,0.0034841229999997836,5
5,oracle,8,8,10,0.75,0.35,proxy,35,1,1,6,4.331916381974924,0.9901533243061876,480,5,0.005060189999998244,5
6,passive,8,8,10,0.75,0.35,proxy,35,0,1,36,40.83543528930649,0.125,0,0,0.0005058869999992055,0
6,fixed_oed,8,8,10,0.75,0.35,proxy,35,0,1,36,36.29874277658159,0.125,350,0,0.0029368249999990326,0
6,random_orientation,8,8,10,0.75,0.35,proxy,35,1,1,30,37.176744535273016,0.9825724617888876,0,25,0.0005088010000022791,0
6,generic_oed,8,8,10,0.75,0.35,proxy,35,1,1,4,4.367130807469998,0.9983838430402934,320,3,0.0022552400000002137,0
6,oarl_no_stability,8,8,10,0.75,0.35,proxy,35,1,1,4,2.9924804031327907,0.9740743426570859,320,2,0.002617944000000705,0
6,full_oarl,8,8,10,0.75,0.35,proxy,35,0,0,36,29.42222652241965,0.020135362559923587,2800,3,0.019603148000001624,0
6,oracle,8,8,10,0.75,0.35,proxy,35,1,1,8,7.942058997855117,0.9624976153469474,640,6,0.006690706000000546,0
7,passive,8,8,10,0.75,0.35,proxy,35,0,0,36,45.70608146032505,0.125,0,0,0.0005034630000011475,4
7,fixed_oed,8,8,10,0.75,0.35,proxy,35,0,0,36,50.849148028269944,0.125,350,0,0.0027869840000001034,4
7,random_orientation,8,8,10,0.75,0.35,proxy,35,1,1,2,3.044489464912075,0.9656440819260748,0,1,4.514699999802474e-05,4
7,generic_oed,8,8,10,0.75,0.35,proxy,35,1,1,3,5.08608931582067,0.982436007307453,240,1,0.001652489000001367,4
7,oarl_no_stability,8,8,10,0.75,0.35,proxy,35,1,1,2,1.8971170315862746,0.9952159617298653,160,1,0.0011049710000001767,4
7,full_oarl,8,8,10,0.75,0.35,proxy,35,1,1,5,5.239915177276149,0.9879563485328193,400,3,0.0028429969999983484,4
7,oracle,8,8,10,0.75,0.35,proxy,35,1,1,4,5.537525233303345,0.9926691518341485,320,2,0.0032876029999968637,4
0,passive,8,8,10,1.5,0.0,proxy,35,0,0,36,47.40923864907556,0.125,0,0,0.0005306540000020732,3
0,fixed_oed,8,8,10,1.5,0.0,proxy,35,0,0,36,61.73845141781228,0.125,350,0,0.002832890999997062,3
0,random_orientation,8,8,10,1.5,0.0,proxy,35,0,1,36,51.21760981846799,0.6017853915426437,0,31,0.0005195370000024013,3
0,generic_oed,8,8,10,1.5,0.0,proxy,35,1,1,9,6.049214107497448,0.9726948231509961,720,4,0.004964618999999004,3
0,oarl_no_stability,8,8,10,1.5,0.0,proxy,35,1,1,7,3.8567259477649714,0.9595095070276025,560,3,0.0038876989999998557,3
0,full_oarl,8,8,10,1.5,0.0,proxy,35,0,1,36,15.080411882845361,0.8441325492613801,2800,4,0.01953419700000225,3
0,oracle,8,8,10,1.5,0.0,proxy,35,1,1,7,4.093639213210235,0.9553774990436902,560,3,0.005759933000000217,3
1,passive,8,8,10,1.5,0.0,proxy,35,0,0,36,28.218138844506473,0.125,0,0,0.0005084210000028122,6
1,fixed_oed,8,8,10,1.5,0.0,proxy,35,0,0,36,30.604168810350437,0.125,350,0,0.002812843000000953,6
1,random_orientation,8,8,10,1.5,0.0,proxy,35,1,1,14,16.842523209189032,0.9591934496867204,0,10,0.0002178619999995135,6
1,generic_oed,8,8,10,1.5,0.0,proxy,35,1,1,4,4.20619538539593,0.9708585738770295,320,0,0.0021575349999984894,6
1,oarl_no_stability,8,8,10,1.5,0.0,proxy,35,1,1,4,4.20619538539593,0.9848368632980239,320,0,0.002210413000000244,6
1,full_oarl,8,8,10,1.5,0.0,proxy,35,0,0,36,23.33351711173579,0.0027513044828564393,2800,3,0.019382291999999524,6
1,oracle,8,8,10,1.5,0.0,proxy,35,1,1,4,4.005082670434885,0.9621842908319133,320,0,0.003336735999997842,6
2,passive,8,8,10,1.5,0.0,proxy,35,0,0,36,57.09828554164256,0.125,0,0,0.0005063169999992567,7
2,fixed_oed,8,8,10,1.5,0.0,proxy,35,0,0,36,115.58901824523075,0.125,350,0,0.002745191999999008,7
2,random_orientation,8,8,10,1.5,0.0,proxy,35,0,1,36,80.82883900881389,0.9246817539018495,0,28,0.0005195170000007465,7
2,generic_oed,8,8,10,1.5,0.0,proxy,35,1,1,17,19.691305960080374,0.9645854057444844,1360,6,0.00927170799999999,7
2,oarl_no_stability,8,8,10,1.5,0.0,proxy,35,0,1,36,15.133768510514354,0.8992759107353588,2800,8,0.019746359999999186,7
2,full_oarl,8,8,10,1.5,0.0,proxy,35,0,0,36,23.877707294972268,0.17092843002667688,2800,2,0.019623457999998095,7
2,oracle,8,8,10,1.5,0.0,proxy,35,0,1,36,33.37808089017068,0.7552096819859344,2800,9,0.02859317000000061,7
3,passive,8,8,10,1.5,0.0,proxy,35,0,0,36,27.944969348996484,0.125,0,0,0.0005125759999984325,2
3,fixed_oed,8,8,10,1.5,0.0,proxy,35,0,0,36,33.256036692861734,0.125,350,0,0.002760874999999885,2
3,random_orientation,8,8,10,1.5,0.0,proxy,35,0,1,36,38.01387620756742,0.5225970028096676,0,31,0.0005140190000005873,2
3,generic_oed,8,8,10,1.5,0.0,proxy,35,1,1,26,35.45305081301716,0.9668235050515628,2080,7,0.013764739999999165,2
3,oarl_no_stability,8,8,10,1.5,0.0,proxy,35,0,1,36,25.22945693714161,0.8466022733712676,2800,17,0.019527737000000656,2
3,full_oarl,8,8,10,1.5,0.0,proxy,35,0,0,36,19.164724907913318,0.2131654485737901,2800,2,0.019524091000000965,2
3,oracle,8,8,10,1.5,0.0,proxy,35,1,1,12,13.010851124921665,0.9510181318574157,960,2,0.010754596999998256,2
4,passive,8,8,10,1.5,0.0,proxy,35,0,0,36,58.58484958223396,0.125,0,0,0.000560276999998166,1
4,fixed_oed,8,8,10,1.5,0.0,proxy,35,0,0,36,72.15938800970312,0.125,350,0,0.002810930000002543,1
4,random_orientation,8,8,10,1.5,0.0,proxy,35,0,0,36,40.36093419701848,0.24611461251597563,0,32,0.0005376139999988538,1
4,generic_oed,8,8,10,1.5,0.0,proxy,35,1,1,15,18.099482272324686,0.9757029407582205,1200,8,0.008054600000001244,1
4,oarl_no_stability,8,8,10,1.5,0.0,proxy,35,1,1,16,11.250428364056297,0.9578550116285922,1280,5,0.008826199000001367,1
4,full_oarl,8,8,10,1.5,0.0,proxy,35,0,0,36,31.162290131382072,0.0591756628037422,2800,2,0.020067492999999104,1
4,oracle,8,8,10,1.5,0.0,proxy,35,1,1,19,20.428837211953994,0.9791371362020581,1520,8,0.015507012000000486,1
5,passive,8,8,10,1.5,0.0,proxy,35,0,0,36,35.9852741329849,0.125,0,0,0.0004789370000004567,5
5,fixed_oed,8,8,10,1.5,0.0,proxy,35,0,0,36,31.670155545743707,0.125,350,0,0.0027139760000025603,5
5,random_orientation,8,8,10,1.5,0.0,proxy,35,0,1,36,38.60887212968615,0.4226951023024099,0,33,0.0005161519999994368,5
5,generic_oed,8,8,10,1.5,0.0,proxy,35,1,1,15,22.005858186218347,0.977721439230497,1200,8,0.008385999999998006,5
5,oarl_no_stability,8,8,10,1.5,0.0,proxy,35,1,1,20,5.7282524681760245,0.9711939731314652,1600,9,0.010915402999998491,5
5,full_oarl,8,8,10,1.5,0.0,proxy,35,0,1,36,22.17136978206124,0.7283120612335344,2800,3,0.019498783999999603,5
5,oracle,8,8,10,1.5,0.0,proxy,35,1,1,13,15.145376189971143,0.9566854081847165,1040,8,0.010900370999998188,5
6,passive,8,8,10,1.5,0.0,proxy,35,0,1,36,42.07490431876934,0.125,0,0,0.000594297999999327,0
6,fixed_oed,8,8,10,1.5,0.0,proxy,35,0,1,36,36.29874277658159,0.125,350,0,0.0027741950000006455,0
6,random_orientation,8,8,10,1.5,0.0,proxy,35,1,1,27,29.345948283006127,0.9590522619254397,0,21,0.0004230549999988398,0
6,generic_oed,8,8,10,1.5,0.0,proxy,35,1,1,9,9.861234396454634,0.9767846103353875,720,5,0.0048922119999978975,0
6,oarl_no_stability,8,8,10,1.5,0.0,proxy,35,1,1,31,13.02419159586665,0.9557097617647474,2480,4,0.01675128900000189,0
6,full_oarl,8,8,10,1.5,0.0,proxy,35,0,0,36,30.739693110963398,0.04004714785778232,2800,3,0.01965142899999961,0
6,oracle,8,8,10,1.5,0.0,proxy,35,1,1,14,13.121822561551882,0.9606413497866004,1120,8,0.011676647000001594,0
7,passive,8,8,10,1.5,0.0,proxy,35,0,0,36,48.492537143215635,0.125,0,0,0.000480580000001396,4
7,fixed_oed,8,8,10,1.5,0.0,proxy,35,0,0,36,50.849148028269944,0.125,350,0,0.002733435999999756,4
7,random_orientation,8,8,10,1.5,0.0,proxy,35,1,1,30,35.13779313987978,0.9710061158557741,0,23,0.0004464890000015487,4
7,generic_oed,8,8,10,1.5,0.0,proxy,35,1,1,10,17.57559464663101,0.9837352219362683,800,3,0.0053054219999992824,4
7,oarl_no_stability,8,8,10,1.5,0.0,proxy,35,0,1,36,24.661989209241373,0.9033979331173712,2800,9,0.018877075999998993,4
7,full_oarl,8,8,10,1.5,0.0,proxy,35,0,0,36,26.068788334410474,0.16163001159546453,2800,3,0.019594485999999023,4
7,oracle,8,8,10,1.5,0.0,proxy,35,1,1,8,14.806832029979336,0.9517395649969012,640,3,0.006435931000002171,4
0,passive,8,8,10,1.5,0.35,proxy,35,0,0,36,44.267592700211566,0.125,0,0,0.0005087109999983852,3
0,fixed_oed,8,8,10,1.5,0.35,proxy,35,0,0,36,61.73845141781228,0.125,350,0,0.002817559000000358,3
0,random_orientation,8,8,10,1.5,0.35,proxy,35,0,1,36,66.90992994816663,0.4066915567336726,0,33,0.0005738680000000329,3
0,generic_oed,8,8,10,1.5,0.35,proxy,35,1,1,5,3.031450897192587,0.9681156956581444,400,3,0.0027109919999972476,3
