H,O,A,C,seed,discovered_classes,compression_fraction,pair_tp,pair_fp,pair_fn,pair_tn,pair_precision,pair_recall,accepted_certificates,mapping_errors,max_scale_relative_error,max_offset_error_z,certificate_comparisons,certificate_runtime_s
12,8,7,4,2043,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.011886546699831246,0.003725711232861792,56028,0.019076940999980252
12,8,7,4,2044,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.005943585454134759,0.004224586804699486,48720,0.01498934999997914
12,8,7,4,2045,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,68208,0.02337128700000335
12,8,7,4,2046,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,68208,0.023757866000011063
12,8,7,4,2047,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,68208,0.024318351000005123
12,8,7,4,2048,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.017365339921223022,0.005735105352687096,48720,0.01733842400000185
12,8,7,4,2049,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,68208,0.023366557000002786
12,8,7,4,2050,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.0019246575517772868,0.00422045747438189,56028,0.018990779999995766
12,8,7,4,2051,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.005013448707981039,0.006616868999804807,51156,0.018002249000005577
12,8,7,4,2052,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,68208,0.023463980000002493
12,8,7,4,2053,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.006158944950423906,0.003716772391032251,58464,0.02013293699999963
12,8,7,4,2054,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.002585985785465539,0.000182556424191747,56028,0.019251395999987153
12,8,7,4,2055,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,68208,0.023091375999996444
12,8,7,4,2056,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,68208,0.01963799499998231
12,8,7,4,2057,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.0022314844484705443,0.00514027072513323,60900,0.021098415000011528
12,8,7,4,2058,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.003237634417346369,0.00168482506037111,51156,0.018013952000018207
12,8,7,4,2059,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.0029927514395760024,3.40450725459359e-05,56028,0.01933254699997633
12,8,7,4,2060,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.000885388666466147,0.0017825605969071332,58464,0.020320595999976376
12,8,7,4,2061,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,68208,0.023861360000012155
12,8,7,4,2062,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.0059790848821172915,0.00165724326381224,60900,0.021363357999973687
12,8,7,4,2063,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.00020360470077407378,0.007054336400040358,56028,0.019486112999970828
12,8,7,4,2064,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.00244422869172245,0.0062434798567858035,56028,0.016390258999990692
12,8,7,4,2065,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,68208,0.023692734999997356
12,8,7,4,2066,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.003931795286628681,0.001065566400885601,58464,0.020497225999974944
12,8,7,4,2067,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.0027334228551241235,0.010425383359333032,60900,0.017944371999988107
12,8,7,4,2068,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.0002588271114903895,0.00026319909857984864,58464,0.02050702399998272
12,8,7,4,2069,5,0.375,3.0,0.0,1.0,24.0,1.0,0.75,3,0,0.0105614086250706,0.004637242788218341,46284,0.016786205000016707
12,8,7,4,2070,5,0.375,3.0,0.0,1.0,24.0,1.0,0.75,3,0,0.004501403609222132,0.004960986304345216,46284,0.016786385999978393
12,8,7,4,2071,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.0063955113304126066,8.981986752192246e-05,56028,0.016322182000010343
12,8,7,4,2072,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.0024577186803094175,0.0006016865386670884,58464,0.020110074999990957
12,8,7,4,2073,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.003604342076243938,0.004096182713005441,53592,0.01936883499996611
12,8,7,4,2074,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,68208,0.02328238200004762
12,8,7,4,2075,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.0026583252901710708,0.005788690114877745,48720,0.01739294499998323
12,8,7,4,2076,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,68208,0.023682645999997476
12,8,7,4,2077,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.010642591291785575,0.0009439192038832624,53592,0.016081934999988334
12,8,7,4,2078,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,68208,0.023829809999995177
12,8,7,4,2079,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.008731371594728699,0.010383089017323743,51156,0.018328957999983686
12,8,7,4,2080,5,0.375,3.0,0.0,1.0,24.0,1.0,0.75,3,0,0.005386412367466731,0.006345399944739681,46284,0.016965138999978535
12,8,7,4,2081,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.008720891790213847,0.012840235310614422,51156,0.01836754999999357
12,8,7,4,2082,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,68208,0.02357882299997982
12,8,7,4,2083,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,68208,0.02395984300000009
12,8,7,4,2084,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,2.8474919434806623e-05,0.007992271086235873,56028,0.016460078000022804
12,8,7,4,2085,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,68208,0.019836344999987432
