seed,policy,regime,n_mechanisms,n_orientations,n_interventions,base_noise,perturbation_scale,lambda_stability,gamma_cost,ig_mode,budget,success_95,correct_argmax,n95,c95,total_cost,penalized_c95,posterior_true,score_evals,orientation_switches,runtime_s,true_h
23,generic_oed,no_orientation_value,12,8,10,1.0,0.0,0.15,0.05,proxy,35,0,0,36,,35.0,70.0,0.20422848088312642,2800,0,0.0010578600004009786,2
0,generic_oed,informative_unstable,12,8,10,1.0,0.35,0.15,0.05,proxy,35,1,1,12,11.438310610940245,11.438310610940245,11.438310610940245,0.9940043797585468,960,2,0.000411712000186526,8
1,generic_oed,informative_unstable,12,8,10,1.0,0.35,0.15,0.05,proxy,35,1,1,3,2.9421324701108533,2.9421324701108533,2.9421324701108533,0.9999392119578644,240,0,0.00011365199998181197,1
2,generic_oed,informative_unstable,12,8,10,1.0,0.35,0.15,0.05,proxy,35,1,1,2,2.5404818051608316,2.5404818051608316,2.5404818051608316,0.9935784326765437,160,0,8.500800004185294e-05,7
3,generic_oed,informative_unstable,12,8,10,1.0,0.35,0.15,0.05,proxy,35,1,1,6,6.531370612573772,6.531370612573772,6.531370612573772,0.9723731101040353,480,3,0.0002017749998231011,10
4,generic_oed,informative_unstable,12,8,10,1.0,0.35,0.15,0.05,proxy,35,1,1,3,2.4263804816939665,2.4263804816939665,2.4263804816939665,0.9989323005194872,240,2,0.00014521000002787332,3
5,generic_oed,informative_unstable,12,8,10,1.0,0.35,0.15,0.05,proxy,35,1,1,3,2.558523274586872,2.558523274586872,2.558523274586872,0.9753526652390677,240,1,0.0001136720002250513,9
6,generic_oed,informative_unstable,12,8,10,1.0,0.35,0.15,0.05,proxy,35,1,1,2,1.049302027129812,1.049302027129812,1.049302027129812,0.9984985906570352,160,0,8.480799988319632e-05,1
7,generic_oed,informative_unstable,12,8,10,1.0,0.35,0.15,0.05,proxy,35,1,1,3,5.1089998333307065,5.1089998333307065,5.1089998333307065,0.9946544860863761,240,0,0.00011587499966481118,10
8,generic_oed,informative_unstable,12,8,10,1.0,0.35,0.15,0.05,proxy,35,1,1,3,4.2606383031569885,4.2606383031569885,4.2606383031569885,0.9502776590016595,240,2,0.00011166900003445335,8
9,generic_oed,informative_unstable,12,8,10,1.0,0.35,0.15,0.05,proxy,35,1,1,9,8.162953043209422,8.162953043209422,8.162953043209422,0.9705429980763681,720,3,0.0002874150000025111,10
10,generic_oed,informative_unstable,12,8,10,1.0,0.35,0.15,0.05,proxy,35,1,1,1,1.0371263345828297,1.0371263345828297,1.0371263345828297,0.9947263016797806,80,0,5.077699961475446e-05,8
11,generic_oed,informative_unstable,12,8,10,1.0,0.35,0.15,0.05,proxy,35,1,1,7,7.858477301642564,7.858477301642564,7.858477301642564,0.9929869889697162,560,4,0.0006092220000937232,0
12,generic_oed,informative_unstable,12,8,10,1.0,0.35,0.15,0.05,proxy,35,1,1,21,9.94986151665941,9.94986151665941,9.94986151665941,0.9926769702731687,1680,3,0.0006423620002351527,0
13,generic_oed,informative_unstable,12,8,10,1.0,0.35,0.15,0.05,proxy,35,1,1,7,9.758940005083243,9.758940005083243,9.758940005083243,0.9974077332007532,560,0,0.00023515600014434312,6
14,generic_oed,informative_unstable,12,8,10,1.0,0.35,0.15,0.05,proxy,35,1,1,30,23.294261545543684,23.294261545543684,23.294261545543684,0.9866936722858175,2400,11,0.0009594709999873885,1
15,generic_oed,informative_unstable,12,8,10,1.0,0.35,0.15,0.05,proxy,35,1,1,2,2.818815725900171,2.818815725900171,2.818815725900171,0.9999656045329256,160,0,9.34419999794045e-05,11
16,generic_oed,informative_unstable,12,8,10,1.0,0.35,0.15,0.05,proxy,35,1,1,10,17.9293840152881,17.9293840152881,17.9293840152881,0.9998339321597087,800,6,0.00034628399998837267,1
17,generic_oed,informative_unstable,12,8,10,1.0,0.35,0.15,0.05,proxy,35,1,1,2,3.659810867968877,3.659810867968877,3.659810867968877,0.9997508175208855,160,0,9.505299976808601e-05,3
18,generic_oed,informative_unstable,12,8,10,1.0,0.35,0.15,0.05,proxy,35,1,1,19,31.51371602452773,31.51371602452773,31.51371602452773,0.9582669215999899,1520,8,0.0007756730001347023,7
19,generic_oed,informative_unstable,12,8,10,1.0,0.35,0.15,0.05,proxy,35,1,1,28,16.395168156982713,16.395168156982713,16.395168156982713,0.9549081347246281,2240,9,0.0008505370001330448,2
