seed,policy,regime,n_mechanisms,n_orientations,n_interventions,base_noise,perturbation_scale,lambda_stability,gamma_cost,ig_mode,budget,success_95,correct_argmax,n95,c95,total_cost,penalized_c95,posterior_true,score_evals,orientation_switches,runtime_s,true_h,condition
7010,generic_oed,informative_unstable,12,8,10,1.0,0.35,0.0,0.0,quadrature,35,1,1,23,10.242871907307922,10.242871907307922,10.242871907307922,0.994396812744603,1840,8,0.6601309190000393,7,informative_unstable
7010,full_oarl,informative_unstable,12,8,10,1.0,0.35,0.0,0.0,quadrature,35,1,1,23,10.242871907307922,10.242871907307922,10.242871907307922,0.994396812744603,1840,8,0.6593469330000516,7,informative_unstable
7011,generic_oed,informative_unstable,12,8,10,1.0,0.35,0.0,0.0,quadrature,35,1,1,7,9.361704589449316,9.361704589449316,9.361704589449316,0.9938186612288659,560,0,0.23667076199990333,11,informative_unstable
7011,full_oarl,informative_unstable,12,8,10,1.0,0.35,0.0,0.0,quadrature,35,1,1,7,9.361704589449316,9.361704589449316,9.361704589449316,0.9938186612288659,560,0,0.2364012250000087,11,informative_unstable
7012,generic_oed,informative_unstable,12,8,10,1.0,0.35,0.0,0.0,quadrature,35,1,1,15,15.632727309729557,15.632727309729557,15.632727309729557,0.9606667883524022,1200,8,0.5383277620003355,2,informative_unstable
7012,full_oarl,informative_unstable,12,8,10,1.0,0.35,0.0,0.0,quadrature,35,1,1,15,15.632727309729557,15.632727309729557,15.632727309729557,0.9606667883524022,1200,8,0.5381250559998989,2,informative_unstable
7013,generic_oed,informative_unstable,12,8,10,1.0,0.35,0.0,0.0,quadrature,35,1,1,4,6.454353794629782,6.454353794629782,6.454353794629782,0.9797075898976452,320,2,0.14403221899965502,10,informative_unstable
7013,full_oarl,informative_unstable,12,8,10,1.0,0.35,0.0,0.0,quadrature,35,1,1,4,6.454353794629782,6.454353794629782,6.454353794629782,0.9797075898976452,320,2,0.1436146779997216,10,informative_unstable
7014,generic_oed,informative_unstable,12,8,10,1.0,0.35,0.0,0.0,quadrature,35,1,1,3,1.852431164056014,1.852431164056014,1.852431164056014,0.999880670813956,240,2,0.10788856900035171,6,informative_unstable
7014,full_oarl,informative_unstable,12,8,10,1.0,0.35,0.0,0.0,quadrature,35,1,1,3,1.852431164056014,1.852431164056014,1.852431164056014,0.999880670813956,240,2,0.10763574700013123,6,informative_unstable
7015,generic_oed,informative_unstable,12,8,10,1.0,0.35,0.0,0.0,quadrature,35,1,1,5,4.4475959756092385,4.4475959756092385,4.4475959756092385,0.9861809022810651,400,3,0.16984768700012864,0,informative_unstable
7015,full_oarl,informative_unstable,12,8,10,1.0,0.35,0.0,0.0,quadrature,35,1,1,5,4.4475959756092385,4.4475959756092385,4.4475959756092385,0.9861809022810651,400,3,0.1703138329999092,0,informative_unstable
7016,generic_oed,informative_unstable,12,8,10,1.0,0.35,0.0,0.0,quadrature,35,1,1,3,5.671849543158083,5.671849543158083,5.671849543158083,0.995765834635185,240,1,0.08445540599996093,11,informative_unstable
7016,full_oarl,informative_unstable,12,8,10,1.0,0.35,0.0,0.0,quadrature,35,1,1,3,5.671849543158083,5.671849543158083,5.671849543158083,0.995765834635185,240,1,0.08481694299962328,11,informative_unstable
7017,generic_oed,informative_unstable,12,8,10,1.0,0.35,0.0,0.0,quadrature,35,1,1,25,24.482365617625184,24.482365617625184,24.482365617625184,0.9889640650925484,2000,4,0.7734994470001766,8,informative_unstable
7017,full_oarl,informative_unstable,12,8,10,1.0,0.35,0.0,0.0,quadrature,35,1,1,25,24.482365617625184,24.482365617625184,24.482365617625184,0.9889640650925484,2000,4,0.7751644559998567,8,informative_unstable
7018,generic_oed,informative_unstable,12,8,10,1.0,0.35,0.0,0.0,quadrature,35,1,1,27,31.11180297858004,31.11180297858004,31.11180297858004,0.9907960192987815,2160,8,0.9013359900000069,7,informative_unstable
7018,full_oarl,informative_unstable,12,8,10,1.0,0.35,0.0,0.0,quadrature,35,1,1,27,31.11180297858004,31.11180297858004,31.11180297858004,0.9907960192987815,2160,8,0.9245399350002117,7,informative_unstable
7019,generic_oed,informative_unstable,12,8,10,1.0,0.35,0.0,0.0,quadrature,35,1,1,13,11.056624953336085,11.056624953336085,11.056624953336085,0.969283702594745,1040,5,0.41407713900025556,3,informative_unstable
7019,full_oarl,informative_unstable,12,8,10,1.0,0.35,0.0,0.0,quadrature,35,1,1,13,11.056624953336085,11.056624953336085,11.056624953336085,0.969283702594745,1040,5,0.38904242299986436,3,informative_unstable
